Legajo;Nombre;Clasificación;Tipo
202;TTS VIAJES;Empresa de Viajes y Turismo;Otro
281;AGENCIA RISPOLI Y CIA;Empresa de Viajes y Turismo;Emisivo,Receptivo,Emite Pasajes (IATA)
322;TURISMO SAN RAFAEL;Agencia de Viajes y Turismo;Otro
423;AGENCIA SANTA MARÍA-SERVICIO MUNDIAL DE VIAJES;Empresa de Viajes y Turismo;Emisivo
647;FAZIO S.R.L. TURISMO;Empresa de Viajes y Turismo;Otro
692;FRANCA TOUR;Empresa de Viajes y Turismo;Otro
935;TURISMO ZAKALIK;Empresa de Viajes y Turismo;Otro
1209;EMPRESA DE TURISMO ÍTALO BUTTINI Y HNOS S.R.L.;Empresa de Viajes y Turismo;Otro
2066;TURISMO VIAJES SRL;Agencia de Viajes y Turismo;Otro
2459;ORBIS TURISMO;Empresa de Viajes y Turismo;Otro
3185;BEATRIZ M.CABRERA VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
3392;EL ORO NEGRO;Empresa de Viajes y Turismo;Otro
4326;S.U.S DESTINOS;Empresa de Viajes y Turismo;Otro
6248;INELTUR;Empresa de Viajes y Turismo;Otro
6408;VIAJES MANDON;Empresa de Viajes y Turismo;Otro
6421;TURISMO USPALLATA;Agencia de Viajes y Turismo;Tour Operador
6421/2;TURISMO USPALLATA SUC. 2;Empresa de Viajes y Turismo;Otro
6421/3;TURISMO USPALLATA SUC.4;Empresa de Viajes y Turismo;Otro
6550;HUARPE VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
6667;RISTOUR OPERADORES MAYORISTAS;Empresa de Viajes y Turismo;Otro
7070;TURISMO PERROTA;Empresa de Viajes y Turismo;Otro
7071;VELASCO Y ASOCIADOS;Empresa de Viajes y Turismo;Emisivo
7328;CUMBRES ANDINAS;Empresa de Viajes y Turismo;Otro
7368;LIVIGNO VIAJES;Agencia de Viajes y Turismo;Emisivo
7383;VEYMEN TURISMO;Empresa de Viajes y Turismo;Emisivo,Emite Pasajes (IATA)
7501;AGENCIA DE TURISMO HUGO O BARALE;Empresa de Viajes y Turismo;Otro
