ID,Nombre,Habitaciones,Parcelas,Plazas,Cabañas,Fecha Inscripción,Departamento,Clasificación,Localidad
1,PARK HYATT MENDOZA,186,,372,,20/06/2001,Capital,Hotel,CIUDAD 
2,HOTEL CERVANTES,40,0,120,0,16/11/1984,Capital,Hotel,CIUDAD
3,GRAND HOTEL BALBI,108,0,240,0,26/10/2001,Capital,Hotel,CIUDAD
4,LA HORQUETA,,0,,0,10/01/2001,San Rafael,Cabañas,CAÑON DEL ATUEL
5,CASITA SUIZA,0,0,0,0,01/05/2020,Las Heras,Hospedaje,USPALLATA
6,ARIOSTO,40,0,110,0,05/06/1986,Capital,Hotel,CIUDAD
7,RITZ,39,0,110,0,07/01/1986,Capital,Hotel,CIUDAD
8,ALTOS DEL VALLE,,0,,0,12/09/2001,Lujan,Cabañas,POTRERILLOS
9,CABAÑAS DEL PIRCAS,,0,,0,06/08/2019,Tunuyan,Cabañas,EL MANZANO
10,NUEVO HOTEL SAN FRANCISCO,40,0,80,0,11/11/2004,Lujan,Hotel,CHACRAS DE CORIA
11,HOSTEL KATMANDU,9,0,20,0,11/12/2018,Malargue,Hospedaje,CIUDAD
12,MILENA,20,0,47,0,29/11/1984,Capital,Hotel,CIUDAD
15,RAÍCES ACONCAGUA,151,,302,,29/06/1998,Capital,Hotel,CIUDAD DE MENDOZA
19,AMERICA,36,0,90,0,02/10/1984,Capital,Hotel,CIUDAD
22,GEMINIS,0,0,0,0,21/01/1997,Malargue,Apart-Hotel,LAS LEÑAS
23,SAN MARTIN,35,0,70,0,12/01/1994,Capital,Hotel,CIUDAD
25,CAROLLO,50,0,100,0,15/06/2000,Capital,Hotel,CIUDAD
26,PANAMERICANO,20,0,44,0,15/11/1984,Guaymallen,Hotel,DORREGO
27,EL PARAISO DEL VALLE,0,0,0,0,10/02/2003,San Rafael,Cabañas,VALLE GRANDE
28,GRAN HOTEL USPALLATA,0,0,0,0,10/08/1999,Las Heras,Hotel,USPALLATA
29,CRISTAL,0,0,0,0,18/10/1993,Capital,Hotel,CIUDAD
30,CASINO,0,0,0,0,15/11/1984,Capital,Hotel,CIUDAD
31,PROVINCIAL,36,0,90,0,23/03/2001,Capital,Hotel,CIUDAD
33,AVENIDA,0,0,0,0,12/11/2003,La Paz,Hospedaje,CIUDAD
34,SAN REMO ,0,0,0,0,14/01/2003,Capital,Hotel,CIUDAD
35,ARCO IRIS,0,0,0,0,10/10/2001,Lujan,Apart-Hotel,POTRERILLOS
36,MOTEL ZURI,0,0,0,0,15/03/2000,Lujan,Cabañas,COLONIA SUIZA
37,NUTIBARA,54,0,120,0,15/11/1984,Capital,Hotel,CIUDAD
39,THE VINES RESORT AND SPA,21,0,56,0,21/03/2014,Tunuyan,Lodge,LOS SAUCES
41,CRILLON,67,0,135,0,11/03/1994,Capital,Hotel,CIUDAD
46,LA POLLAZA,0,0,0,0,12/02/2010,San Rafael,Hospedaje,CUADRO BENEGAS
47,CABAÑAS COCO,0,0,0,0,27/03/2013,Las Heras,Hospedaje,LAS COMPUERTAS
48,NUEVO CASTILLO,0,0,0,0,12/12/2001,Capital,Hotel,CIUDAD
49,CASTELAR,10,0,20,0,14/01/1988,Capital,Hotel,CIUDAD
50,URBANA SUITES,28,0,60,0,12/12/2001,Capital,Apart-Hotel,CIUDAD
51,COMPLEJO LA PIEDRA,0,0,0,0,06/01/2010,San Rafael,Hospedaje,EL NIHUIL
52,INTERNACIONAL,54,0,120,0,11/05/1986,Capital,Hotel,CIUDAD
54,LOS CONDORES,20,0,60,0,06/12/1984,Las Heras,Hostería,USPALLATA
55,CATEDRAL,20,0,54,0,06/07/2010,Capital,Hotel,CIUDAD
56,HUENTALA HOTEL BOUTIQUE,81,0,180,0,25/02/1985,Capital,Hotel,CIUDAD
59,FUENTE MAYOR HOTEL & RESORT,0,0,0,0,16/10/2018,Capital,Hotel,CIUDAD
60,PENITENTES,0,0,0,0,31/08/1983,Las Heras,Hospedaje,LOS PENITENTES
63,ESPAÑA,0,0,0,0,15/01/1986,Lujan,Hospedaje,CIUDAD
65,TERMAS DE CACHEUTA,0,0,0,0,26/07/1986,Lujan,Hospedaje,CACHEUTA
66,SHERATON MENDOZA HOTEL,0,0,0,0,18/09/2018,Capital,Hotel,CIUDAD
67,MILLALEN,0,0,0,0,26/08/1994,San Rafael,Hotel,CIUDAD
68,NECOCHEA,0,0,0,0,03/02/1990,Capital,Hotel,CIUDAD
69,BELLA VISTA LOFT,0,0,0,0,18/09/2009,Las Heras,PAT (Propiedad Alquiler Temporario),EL CHALLAO
70,ATUEL,0,0,0,0,04/02/2003,San Rafael,Hospedaje,CIUDAD
72,CENTER,19,0,50,0,19/02/1992,Capital,Hotel,CIUDAD
73,SAN MARTIN APART HOTEL,54,0,120,0,12/09/2001,San Rafael,Apart-Hotel,CIUDAD
74,EDELWEIS,0,0,0,0,18/03/2002,Lujan,Cabañas,POTRERILLOS
75,BLANCO,0,0,0,0,12/08/1992,Guaymallen,Hotel,DORREGO
76,TURISMO TUPUNGATO,31,0,84,0,06/11/1992,Tupungato,Hotel,CIUDAD
77,CERRO NEVADO (EX-LA CANALETA),0,0,0,0,05/02/1991,Lujan,Hostería,POTRERILLOS
78,TERMAS DE CACHEUTA,0,0,0,0,11/05/2022,Lujan,Camping,CACHEUTA
79,EL MANZANO,0,0,0,0,08/11/2001,Tunuyan,Camping,EL MANZANO
80,MUNICIPAL TUNUYAN,0,0,0,0,15/11/2001,Tunuyan,Hospedaje,EL MANZANO
81,RIO DIAMANTE,0,0,0,0,08/11/2001,San Rafael,Camping,VALLE GRANDE
83,DIQUE CIPOLLETTI,0,0,0,0,08/11/2001,Lujan,Camping,CIPOLLETTI
85,CABAÑAS ROSA MOSQUETA,0,0,0,0,12/10/2018,Malargue,Hospedaje,MALARGUE
86,CERRO ACONCAGUA,0,0,0,0,05/06/2002,Las Heras,Hospedaje,LOS PENITENTES
87,ALMERIA,20,0,50,0,30/01/2004,San Rafael,Hotel,CIUDAD
88,EL PERAL,0,0,0,0,08/11/2001,Tupungato,Camping,EL PERAL
89,EL TORREON,46,0,123,0,05/01/1993,Capital,Hotel,CIUDAD
90,ANTAWARA,0,0,0,0,09/07/2020,Las Heras,Hospedaje,USPALLATA
91,ALAS,20,0,50,0,19/08/1994,San Rafael,Hospedaje,CIUDAD
92,SAN RAFAEL,60,0,145,0,25/03/1988,San Rafael,Hotel,CIUDAD
93,RIO GRANDE,40,0,100,0,13/08/1986,Malargue,Hotel,CIUDAD
94,BAMBI,25,0,85,0,03/06/1986,Malargue,Hotel,CIUDAD
95,KALTON,40,0,91,0,18/11/1992,San Rafael,Hotel,CIUDAD
